id,name,category,value,memo
482,name_482,B,467,memo_482
483,name_483,B,56,memo_483
484,name_484,C,588,memo_484
485,name_485,B,79,memo_485
486,name_486,A,308,memo_486
487,name_487,A,249,memo_487
488,name_488,A,953,memo_488
489,name_489,C,970,memo_489
490,name_490,A,259,"this is memo, with comma 490"
491,name_491,B,394,memo_491
492,name_492,C,760,memo_492
493,name_493,C,849,memo_493
494,name_494,A,832,memo_494
495,name_495,C,620,memo_495
496,name_496,A,360,memo_496
497,name_497,C,851,memo_497
498,name_498,C,130,memo_498
499,name_499,B,680,memo_499
500,name_500,A,5,"this is memo, with comma 500"
501,name_501,C,680,memo_501
502,name_502,B,417,memo_502
503,name_503,A,244,memo_503
504,name_504,B,591,memo_504
505,name_505,B,807,memo_505
506,name_506,B,844,memo_506
507,name_507,C,485,memo_507
508,name_508,B,16,memo_508
509,name_509,A,852,memo_509
510,name_510,A,296,"this is memo, with comma 510"
511,name_511,C,700,memo_511
512,name_512,C,420,memo_512
513,name_513,A,721,memo_513
514,name_514,A,543,memo_514
515,name_515,B,412,memo_515
516,name_516,C,648,memo_516
517,name_517,C,545,memo_517
518,name_518,B,826,memo_518
519,name_519,B,683,memo_519
520,name_520,A,688,"this is memo, with comma 520"
521,name_521,C,374,memo_521
522,name_522,C,212,memo_522
523,name_523,A,318,memo_523
524,name_524,C,342,memo_524
525,name_525,A,523,memo_525
526,name_526,B,854,memo_526
527,name_527,B,653,memo_527
528,name_528,A,474,memo_528
529,name_529,C,100,memo_529
530,name_530,B,937,"this is memo, with comma 530"
531,name_531,A,219,memo_531
532,name_532,C,993,memo_532
533,name_533,B,470,memo_533
534,name_534,B,243,memo_534
535,name_535,B,163,memo_535
536,name_536,A,316,memo_536
537,name_537,B,520,memo_537
538,name_538,B,65,memo_538
539,name_539,B,4,memo_539
540,name_540,B,801,"this is memo, with comma 540"
541,name_541,C,904,memo_541
542,name_542,A,504,memo_542
543,name_543,A,955,memo_543
544,name_544,A,303,memo_544
545,name_545,C,290,memo_545
546,name_546,B,443,memo_546
547,name_547,A,63,memo_547
548,name_548,A,622,memo_548
549,name_549,A,661,memo_549
550,name_550,A,529,"this is memo, with comma 550"
551,name_551,B,802,memo_551
552,name_552,A,31,memo_552
553,name_553,B,611,memo_553
554,name_554,A,312,memo_554
555,name_555,B,856,memo_555
556,name_556,B,208,memo_556
557,name_557,C,706,memo_557
558,name_558,C,147,memo_558
559,name_559,B,407,memo_559
560,name_560,C,37,"this is memo, with comma 560"
561,name_561,A,122,memo_561
562,name_562,A,702,memo_562
563,name_563,A,999,memo_563
564,name_564,B,911,memo_564
565,name_565,C,400,memo_565
566,name_566,C,682,memo_566
567,name_567,C,400,memo_567
568,name_568,A,309,memo_568
569,name_569,B,827,memo_569
570,name_570,B,618,"this is memo, with comma 570"
571,name_571,C,35,memo_571
572,name_572,A,283,memo_572
573,name_573,B,186,memo_573
574,name_574,C,861,memo_574
575,name_575,B,517,memo_575
576,name_576,A,560,memo_576
577,name_577,A,370,memo_577
578,name_578,C,7,memo_578
579,name_579,C,686,memo_579
580,name_580,C,164,"this is memo, with comma 580"
581,name_581,C,530,memo_581
582,name_582,A,885,memo_582
583,name_583,B,687,memo_583
584,name_584,C,362,memo_584
585,name_585,A,388,memo_585
586,name_586,A,893,memo_586
587,name_587,A,312,memo_587
588,name_588,B,790,memo_588
589,name_589,A,208,memo_589
590,name_590,C,525,"this is memo, with comma 590"
591,name_591,B,43,memo_591
592,name_592,B,152,memo_592
593,name_593,B,480,memo_593
594,name_594,C,135,memo_594
595,name_595,A,810,memo_595
596,name_596,A,191,memo_596
597,name_597,A,88,memo_597
598,name_598,B,245,memo_598
599,name_599,B,275,memo_599
600,name_600,C,775,"this is memo, with comma 600"
601,name_601,B,349,memo_601
602,name_602,B,358,memo_602
603,name_603,B,996,memo_603
604,name_604,C,294,memo_604
605,name_605,A,559,memo_605
606,name_606,B,285,memo_606
607,name_607,A,867,memo_607
608,name_608,A,962,memo_608
609,name_609,B,972,memo_609
610,name_610,C,210,"this is memo, with comma 610"
611,name_611,C,949,memo_611
612,name_612,B,474,memo_612
613,name_613,B,565,memo_613
614,name_614,C,960,memo_614
615,name_615,B,721,memo_615
616,name_616,C,235,memo_616
617,name_617,C,423,memo_617
618,name_618,C,621,memo_618
619,name_619,B,365,memo_619
620,name_620,B,772,"this is memo, with comma 620"
621,name_621,C,678,memo_621
622,name_622,A,446,memo_622
623,name_623,B,429,memo_623
624,name_624,A,904,memo_624
625,name_625,C,636,memo_625
626,name_626,B,60,memo_626
627,name_627,B,91,memo_627
628,name_628,C,35,memo_628
629,name_629,C,527,memo_629
630,name_630,A,266,"this is memo, with comma 630"
631,name_631,A,588,memo_631
632,name_632,A,412,memo_632
633,name_633,B,521,memo_633
634,name_634,B,596,memo_634
635,name_635,B,12,memo_635
636,name_636,B,315,memo_636
637,name_637,C,965,memo_637
638,name_638,B,666,memo_638
639,name_639,A,498,memo_639
640,name_640,B,872,"this is memo, with comma 640"
641,name_641,B,264,memo_641
642,name_642,A,384,memo_642
643,name_643,A,921,memo_643
644,name_644,C,617,memo_644
645,name_645,C,783,memo_645
646,name_646,C,513,memo_646
647,name_647,A,423,memo_647
648,name_648,B,566,memo_648
649,name_649,B,702,memo_649
650,name_650,A,282,"this is memo, with comma 650"
651,name_651,A,390,memo_651
652,name_652,C,599,memo_652
653,name_653,C,316,memo_653
654,name_654,C,535,memo_654
655,name_655,A,835,memo_655
656,name_656,B,723,memo_656
657,name_657,A,455,memo_657
658,name_658,B,843,memo_658
659,name_659,C,880,memo_659
660,name_660,A,1,"this is memo, with comma 660"
661,name_661,C,427,memo_661
662,name_662,B,260,memo_662
663,name_663,C,918,memo_663
664,name_664,B,752,memo_664
665,name_665,B,409,memo_665
666,name_666,B,79,memo_666
667,name_667,A,326,memo_667
668,name_668,C,776,memo_668
669,name_669,B,993,memo_669
670,name_670,A,94,"this is memo, with comma 670"
671,name_671,C,904,memo_671
672,name_672,B,831,memo_672
673,name_673,C,360,memo_673
674,name_674,A,816,memo_674
675,name_675,C,34,memo_675
676,name_676,A,864,memo_676
677,name_677,A,837,memo_677
678,name_678,A,300,memo_678
679,name_679,B,398,memo_679
680,name_680,A,569,"this is memo, with comma 680"
681,name_681,C,421,memo_681
682,name_682,B,884,memo_682
683,name_683,C,862,memo_683
684,name_684,C,218,memo_684
685,name_685,C,577,memo_685
686,name_686,C,458,memo_686
687,name_687,A,963,memo_687
688,name_688,C,487,memo_688
689,name_689,B,977,memo_689
690,name_690,B,104,"this is memo, with comma 690"
691,name_691,A,290,memo_691
692,name_692,A,835,memo_692
693,name_693,A,698,memo_693
694,name_694,A,654,memo_694
695,name_695,A,795,memo_695
696,name_696,A,634,memo_696
697,name_697,B,175,memo_697
698,name_698,B,32,memo_698
699,name_699,B,867,memo_699
700,name_700,A,525,"this is memo, with comma 700"
701,name_701,B,923,memo_701
702,name_702,A,241,memo_702
703,name_703,B,752,memo_703
704,name_704,A,455,memo_704
705,name_705,B,484,memo_705
706,name_706,A,266,memo_706
707,name_707,B,264,memo_707
708,name_708,B,364,memo_708
709,name_709,A,397,memo_709
710,name_710,B,234,"this is memo, with comma 710"
711,name_711,C,921,memo_711
712,name_712,B,306,memo_712
713,name_713,B,524,memo_713
714,name_714,A,332,memo_714
715,name_715,C,445,memo_715
716,name_716,C,889,memo_716
717,name_717,C,645,memo_717
718,name_718,A,695,memo_718
719,name_719,A,203,memo_719
720,name_720,A,14,"this is memo, with comma 720"
721,name_721,C,466,memo_721
722,name_722,C,300,memo_722
723,name_723,B,864,memo_723
724,name_724,B,628,memo_724
725,name_725,C,930,memo_725
726,name_726,A,853,memo_726
727,name_727,C,795,memo_727
728,name_728,A,659,memo_728
729,name_729,A,131,memo_729
730,name_730,B,391,"this is memo, with comma 730"
731,name_731,B,763,memo_731
732,name_732,A,231,memo_732
733,name_733,B,115,memo_733
734,name_734,C,798,memo_734
735,name_735,A,451,memo_735
736,name_736,C,652,memo_736
737,name_737,C,271,memo_737
738,name_738,B,418,memo_738
739,name_739,C,968,memo_739
740,name_740,B,84,"this is memo, with comma 740"
741,name_741,A,107,memo_741
742,name_742,C,501,memo_742
743,name_743,A,914,memo_743
744,name_744,A,566,memo_744
745,name_745,A,842,memo_745
746,name_746,C,908,memo_746
747,name_747,C,501,memo_747
748,name_748,C,267,memo_748
749,name_749,C,884,memo_749
750,name_750,A,51,"this is memo, with comma 750"
751,name_751,A,477,memo_751
752,name_752,A,976,memo_752
753,name_753,C,543,memo_753
754,name_754,C,783,memo_754
755,name_755,C,194,memo_755
756,name_756,C,772,memo_756
757,name_757,A,787,memo_757
758,name_758,A,452,memo_758
759,name_759,A,897,memo_759
760,name_760,B,32,"this is memo, with comma 760"
761,name_761,B,200,memo_761
762,name_762,A,461,memo_762
763,name_763,A,470,memo_763
764,name_764,B,939,memo_764
765,name_765,A,761,memo_765
766,name_766,C,719,memo_766
767,name_767,A,41,memo_767
768,name_768,B,577,memo_768
769,name_769,A,569,memo_769
770,name_770,B,331,"this is memo, with comma 770"
771,name_771,A,877,memo_771
772,name_772,A,272,memo_772
773,name_773,A,671,memo_773
774,name_774,B,52,memo_774
775,name_775,A,346,memo_775
776,name_776,A,100,memo_776
777,name_777,C,271,memo_777
778,name_778,A,196,memo_778
779,name_779,B,390,memo_779
780,name_780,A,351,"this is memo, with comma 780"
781,name_781,A,178,memo_781
782,name_782,C,548,memo_782
783,name_783,B,909,memo_783
784,name_784,B,472,memo_784
785,name_785,A,205,memo_785
786,name_786,A,363,memo_786
787,name_787,C,971,memo_787
788,name_788,A,709,memo_788
789,name_789,C,151,memo_789
790,name_790,B,366,"this is memo, with comma 790"
791,name_791,C,870,memo_791
792,name_792,A,139,memo_792
793,name_793,B,930,memo_793
794,name_794,A,638,memo_794
795,name_795,C,392,memo_795
796,name_796,B,807,memo_796
797,name_797,B,352,memo_797
798,name_798,C,276,memo_798
799,name_799,C,436,memo_799
800,name_800,A,632,"this is memo, with comma 800"
801,name_801,A,578,memo_801
802,name_802,B,514,memo_802
803,name_803,C,196,memo_803
804,name_804,C,365,memo_804
805,name_805,B,859,memo_805
806,name_806,A,660,memo_806
807,name_807,C,625,memo_807
808,name_808,A,989,memo_808
809,name_809,A,197,memo_809
810,name_810,C,193,"this is memo, with comma 810"
811,name_811,A,974,memo_811
812,name_812,B,759,memo_812
813,name_813,C,36,memo_813
814,name_814,B,252,memo_814
815,name_815,A,465,memo_815
816,name_816,B,422,memo_816
817,name_817,B,355,memo_817
818,name_818,C,340,memo_818
819,name_819,A,239,memo_819
820,name_820,B,800,"this is memo, with comma 820"
821,name_821,B,588,memo_821
822,name_822,C,191,memo_822
823,name_823,C,440,memo_823
824,name_824,A,964,memo_824
825,name_825,B,54,memo_825
826,name_826,B,449,memo_826
827,name_827,B,756,memo_827
828,name_828,C,544,memo_828
829,name_829,A,693,memo_829
830,name_830,C,214,"this is memo, with comma 830"
831,name_831,A,809,memo_831
832,name_832,C,624,memo_832
833,name_833,C,568,memo_833
834,name_834,A,480,memo_834
835,name_835,C,71,memo_835
836,name_836,B,523,memo_836
837,name_837,A,801,memo_837
838,name_838,A,870,memo_838
839,name_839,C,161,memo_839
840,name_840,B,787,"this is memo, with comma 840"
841,name_841,B,907,memo_841
842,name_842,A,867,memo_842
843,name_843,C,532,memo_843
844,name_844,A,717,memo_844
845,name_845,C,174,memo_845
846,name_846,A,560,memo_846
847,name_847,C,952,memo_847
848,name_848,A,827,memo_848
849,name_849,A,544,memo_849
850,name_850,B,866,"this is memo, with comma 850"
851,name_851,A,721,memo_851
852,name_852,C,734,memo_852
853,name_853,A,933,memo_853
854,name_854,B,28,memo_854
855,name_855,A,778,memo_855
856,name_856,B,733,memo_856
857,name_857,C,653,memo_857
858,name_858,B,411,memo_858
859,name_859,A,417,memo_859
860,name_860,A,634,"this is memo, with comma 860"
861,name_861,B,690,memo_861
862,name_862,A,332,memo_862
863,name_863,B,143,memo_863
864,name_864,A,396,memo_864
865,name_865,C,122,memo_865
866,name_866,A,546,memo_866
867,name_867,A,293,memo_867
868,name_868,A,43,memo_868
869,name_869,C,414,memo_869
870,name_870,B,129,"this is memo, with comma 870"
871,name_871,B,789,memo_871
872,name_872,C,15,memo_872
873,name_873,C,347,memo_873
874,name_874,B,721,memo_874
875,name_875,B,950,memo_875
876,name_876,B,905,memo_876
877,name_877,A,829,memo_877
878,name_878,B,357,memo_878
879,name_879,A,593,memo_879
880,name_880,C,711,"this is memo, with comma 880"
881,name_881,C,53,memo_881
882,name_882,C,69,memo_882
883,name_883,A,457,memo_883
884,name_884,C,704,memo_884
